number	type	direction	stop|London|0|1	stop|Finsbury Park|300|1	stop|Potters Bar|1240|1	stop|Hatfield|1870|1	stop|Welwyn GC|2160|1	stop|Welwyn North|2380|2	stop|Knebworth|2680|2	stop|Stevenage|2970|2	stop|Hitchin|3370|2	stop|Letchword GC|3580|2	stop|Baldock|3790|2	stop|Ashwell & Morden|4040|2	stop|Roysten|4730|2	stop|Meldreth|5180|2	stop|Shepreth|5370|3	stop|Foxton|5550|3	stop| Cambridge|6290|3	stop|California Ave|6490|3	stop|San Antonio|6760|3	stop|Mountain View|7020|3	stop|Sunnyvale|7310|3	stop|Lawrence|7570|4	stop|Santa Clara|8050|4	stop|College Park|8330|4	stop|San Jose|8620|4	stop|Tamien|9060|4	stop|Capitol|9390|5	stop|Blossom Hill|9660|5	stop|Morgan Hill|9970|6	stop|San Martin|10210|6	stop|Gilroy|10530|6
426	W	S	10:15am	10:20am	10:25am	10:31am	10:35am	10:39am	10:43am	10:45am	10:49am	10:52am	10:55am	10:58am	11:01am	11:07am	11:11am	11:14am	11:17am	11:21am	11:25am	11:29am	11:34am	11:38am	11:43am	-	11:51am	X	X	X	X	X	X
428	W	S	11:15am	11:20am	11:25am	11:31am	11:35am	11:39am	11:43am	11:45am	11:49am	11:52am	11:55am	11:58am	12:01pm	12:07pm	12:11pm	12:14pm	12:17pm	12:21pm	12:25pm	12:29pm	12:34pm	12:38pm	12:43pm	-	12:51pm	X	X	X	X	X	X
430	W	S	12:15pm	12:20pm	12:25pm	12:31pm	12:35pm	12:39pm	12:43pm	12:45pm	12:49pm	12:52pm	12:55pm	12:58pm	1:01pm	1:07pm	1:11pm	1:14pm	1:17pm	1:21pm	1:25pm	1:29pm	1:34pm	1:38pm	1:43pm	-	1:51pm	X	X	X	X	X	X
432	W	S	1:15pm	1:20pm	1:25pm	1:31pm	1:35pm	1:39pm	1:43pm	1:45pm	1:49pm	1:52pm	1:55pm	1:58pm	2:01pm	2:07pm	2:11pm	2:14pm	2:17pm	2:21pm	2:25pm	2:29pm	2:34pm	2:38pm	2:43pm	-	2:51pm	X	X	X	X	X	X
434	W	S	2:15pm	2:20pm	2:25pm	2:31pm	2:35pm	2:39pm	2:43pm	2:45pm	2:49pm	2:52pm	2:55pm	2:58pm	3:01pm	3:07pm	3:11pm	3:14pm	3:17pm	3:21pm	3:25pm	3:29pm	3:34pm	3:38pm	3:43pm	-	3:51pm	X	X	X	X	X	X
436	W	S	3:15pm	3:20pm	3:25pm	3:31pm	3:35pm	3:39pm	3:43pm	3:45pm	3:49pm	3:52pm	3:55pm	3:58pm	4:01pm	4:07pm	4:11pm	4:14pm	4:17pm	4:21pm	4:25pm	4:29pm	4:34pm	4:38pm	4:43pm	-	4:51pm	X	X	X	X	X	X
438	W	S	4:15pm	4:20pm	4:25pm	4:31pm	4:35pm	4:39pm	4:43pm	4:45pm	4:49pm	4:52pm	4:55pm	4:58pm	5:01pm	5:07pm	5:11pm	5:14pm	5:17pm	5:21pm	5:25pm	5:29pm	5:34pm	5:38pm	5:43pm	-	5:51pm	X	X	X	X	X	X
440	W	S	5:15pm	5:20pm	5:25pm	5:31pm	5:35pm	5:39pm	5:43pm	5:45pm	5:49pm	5:52pm	5:55pm	5:58pm	6:01pm	6:07pm	6:11pm	6:14pm	6:17pm	6:21pm	6:25pm	6:29pm	6:34pm	6:38pm	6:43pm	-	6:51pm	X	X	X	X	X	X
442	W	S	6:15pm	6:20pm	6:25pm	6:31pm	6:35pm	6:39pm	6:43pm	6:45pm	6:49pm	6:52pm	6:55pm	6:58pm	7:01pm	7:07pm	7:11pm	7:14pm	7:17pm	7:21pm	7:25pm	7:29pm	7:34pm	7:38pm	7:43pm	-	7:51pm	X	X	X	X	X	X
444	W	S	7:15pm	7:20pm	7:25pm	7:31pm	7:35pm	7:39pm	7:43pm	7:45pm	7:49pm	7:52pm	7:55pm	7:58pm	8:01pm	8:07pm	8:11pm	8:14pm	8:17pm	8:21pm	8:25pm	8:29pm	8:34pm	8:38pm	8:43pm	-	8:51pm	X	X	X	X	X	X
446	W	S	8:15pm	8:20pm	8:25pm	8:31pm	8:35pm	8:39pm	8:43pm	8:45pm	8:49pm	8:52pm	8:55pm	8:58pm	9:01pm	9:07pm	9:11pm	9:14pm	9:17pm	9:21pm	9:25pm	9:29pm	9:34pm	9:38pm	9:43pm	-	9:51pm	X	X	X	X	X	X
448	W	S	9:15pm	9:20pm	9:25pm	9:31pm	9:35pm	9:39pm	9:43pm	9:45pm	9:49pm	9:52pm	9:55pm	9:58pm	10:01pm	10:07pm	10:11pm	10:14pm	10:17pm	10:21pm	10:25pm	10:29pm	10:34pm	10:38pm	10:43pm	-	10:51pm	X	X	X	X	X	X
450	S	S	10:15pm	10:20pm	10:25pm	10:31pm	10:35pm	10:39pm	10:43pm	10:45pm	10:49pm	10:52pm	10:55pm	10:58pm	11:01pm	11:07pm	11:11pm	11:14pm	11:17pm	11:21pm	11:25pm	11:29pm	11:34pm	11:38pm	11:43pm	-	11:51pm	X	X	X	X	X	X
454	S	S	12:01am	12:06am	12:11am	12:17am	12:21am	12:25am	12:29am	12:31am	12:35am	12:38am	12:41am	12:44am	12:47am	12:53am	12:57am	1:00am	1:03am	1:07am	1:11am	1:15am	1:20am	1:24am	1:29am	-	1:37am	X	X	X	X	X	X
